INDEX,TITLE,PLAY_SECONDS,PLAY_TIME,DURATION,LAST_TIME,URL
84,Vue2.0-21.vue-cli - 了解vue项目运行的过程,556,9m16s,13h17m5s,46h32m31s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=84
85,Vue2.0-22.vue-cli - 组件的基本使用,490,8m10s,13h25m15s,46h24m21s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=85
86,Vue2.0-23.vue组件 - 组件的三个组成部分,739,12m19s,13h37m34s,46h12m2s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=86
87,Vue2.0-24.vue组件 - 在组件中定义methods方法,368,6m8s,13h43m42s,46h5m54s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=87
88,Vue2.0-25.vue组件 - 启用less语法以及唯一根节点,263,4m23s,13h48m5s,46h1m31s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=88
89,Vue2.0-01.复习,973,16m13s,14h4m18s,45h45m18s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=89
90,Vue2.0-02.组件 - 使用组件的三个步骤,961,16m1s,14h20m19s,45h29m17s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=90
91,Vue2.0-03.组件 - 在App根组件中使用Right组件,79,1m19s,14h21m38s,45h27m58s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=91
92,Vue2.0-04.组件 - 在VScode中配置@路径提示的插件,354,5m54s,14h27m32s,45h22m4s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=92
93,Vue2.0-05.组件 - 使用Vue.component全局注册组件,644,10m44s,14h38m16s,45h11m20s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=93
94,Vue2.0-06.组件 - auto close tag自动闭合标签的插件,167,2m47s,14h41m3s,45h8m33s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=94
95,Vue2.0-07.props - 为count组件声明props自定义属性,904,15m4s,14h56m7s,44h53m29s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=95
96,Vue2.0-08.props - 结合v-bind使用自定义属性,310,5m10s,15h1m17s,44h48m19s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=96
97,Vue2.0-09.props - props是只读的,620,10m20s,15h11m37s,44h37m59s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=97
98,Vue2.0-10.props - default默认值,347,5m47s,15h17m24s,44h32m12s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=98
99,Vue2.0-11.props - type值类型,268,4m28s,15h21m52s,44h27m44s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=99
100,Vue2.0-12.props - required必填项,426,7m6s,15h28m58s,44h20m38s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=100
101,Vue2.0-13.样式冲突 - 了解scoped的使用和底层实现原理,731,12m11s,15h41m9s,44h8m27s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=101
102,Vue2.0-14.样式冲突 - 使用deep修改子组件中的样式,697,11m37s,15h52m46s,43h56m50s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=102
103,Vue2.0-15.vue组件的实例对象,455,7m35s,16h0m21s,43h49m15s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=103
104,Vue2.0-16.生命周期 - 了解生命周期和生命周期函数的概念,597,9m57s,16h10m18s,43h39m18s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=104
105,Vue2.0-17.生命周期 - 初步了解组件创建的过程,554,9m14s,16h19m32s,43h30m4s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=105
106,Vue2.0-18.生命周期 - 了解beforeCreate和created生命周期函数的特点,1234,20m34s,16h40m6s,43h9m30s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=106
107,Vue2.0-19.生命周期 - 了解beforeMount和mounted生命周期函数,923,15m23s,16h55m29s,42h54m7s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=107
108,Vue2.0-20.生命周期 - 组件运行阶段的生命周期函数,649,10m49s,17h6m18s,42h43m18s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=108
109,Vue2.0-21.生命周期 - 组件销毁阶段的生命周期函数,297,4m57s,17h11m15s,42h38m21s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=109
110,Vue2.0-22.父向子传值 - 使用自定义属性,404,6m44s,17h17m59s,42h31m37s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=110
111,Vue2.0-23.父向子传值 - 演示,604,10m4s,17h28m3s,42h21m33s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=111
112,Vue2.0-24.父向子传值 - 不要修改props的值,266,4m26s,17h32m29s,42h17m7s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=112
113,Vue2.0-25.子向父传值 - 自定义事件,1387,23m7s,17h55m36s,41h54m0s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=113
114,Vue2.0-26.兄弟组件数据共享 - EventBus,588,9m48s,18h5m24s,41h44m12s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=114
115,Vue2.0-27.兄弟组件数据共享 - 演示EventBus的使用,650,10m50s,18h16m14s,41h33m22s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=115
116,Vue2.0-28.总结,1978,32m58s,18h49m12s,41h0m24s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=116
117,Vue2.0-01.复习 - 组件之间数据共享的三种方案,650,10m50s,19h0m2s,40h49m34s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=117
118,Vue2.0-02.ref - 使用ref引用DOM元素,877,14m37s,19h14m39s,40h34m57s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=118
119,Vue2.0-03.ref - 使用ref引用组件实例,742,12m22s,19h27m1s,40h22m35s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=119
120,Vue2.0-04.ref - 初步实现按钮和文本框的按需展示,385,6m25s,19h33m26s,40h16m10s,https://www.bilibili.com/video/BV1zq4y1p7ga/?p=120
