INDEX,TITLE,PLAY_SECONDS,PLAY_TIME,DURATION,LAST_TIME,URL
928,049-直播间模块-直播带货后台系统1,2099,34m59s,271h10m27s,8h12m30s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=928
929,050-直播间模块-直播带货后台系统2,1793,29m53s,271h40m20s,7h42m37s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=929
930,051-直播间模块-直播带货后台系统3,1745,29m5s,272h9m25s,7h13m32s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=930
931,052-直播间模块-直播带货后台系统4,1998,33m18s,272h42m43s,6h40m14s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=931
932,053-直播间模块-上架商品布局,1382,23m2s,273h5m45s,6h17m12s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=932
933,054-直播间模块-上架商品通知,1517,25m17s,273h31m2s,5h51m55s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=933
934,055-直播间模块-直播状态,2551,42m31s,274h13m33s,5h9m24s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=934
935,056-直播间模块-直播功能,1728,28m48s,274h42m21s,4h40m36s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=935
936,057-真机测试,1346,22m26s,275h4m47s,4h18m10s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=936
937,058-项目杀青,579,9m39s,275h14m26s,4h8m31s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=937
938,PC端企业类型整页制作（1）,704,11m44s,275h26m10s,3h56m47s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=938
939,PC端企业类型整页制作（2）,833,13m53s,275h40m3s,3h42m54s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=939
940,PC端企业类型整页制作（3）,1111,18m31s,275h58m34s,3h24m23s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=940
941,PC端企业类型整页制作（4）,644,10m44s,276h9m18s,3h13m39s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=941
942,PC端企业类型整页制作（5）,794,13m14s,276h22m32s,3h0m25s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=942
943,PC端企业类型整页制作（6）,859,14m19s,276h36m51s,2h46m6s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=943
944,PC端企业类型整页制作（7）,1112,18m32s,276h55m23s,2h27m34s,https://www.bilibili.com/video/BV1r64y1T7J8/?p=944
